"Name","API Name","Memory","Compute Units (ECU)","vCPUs","GPUs","GPU model","GPU memory","CUDA Compute Capability","FPGAs","ECU per vCPU","Physical Processor","Clock Speed(GHz)","Intel AVX","Intel AVX2","Intel AVX-512","Intel Turbo","Instance Storage","Instance Storage: already warmed-up","Instance Storage: SSD TRIM Support","Arch","Network Performance","EBS Optimized: Max Bandwidth","EBS Optimized: Throughput","EBS Optimized: Max 16K IOPS","EBS Exposed as NVMe","Max IPs","Max ENIs","Enhanced Networking","VPC Only","IPv6 Support","Placement Group Support","Linux Virtualization","On EMR","Linux On Demand cost","Linux Reserved cost","RHEL On Demand cost","RHEL Reserved cost","SLES On Demand cost","SLES Reserved cost","Windows On Demand cost","Windows Reserved cost","Windows SQL Web On Demand cost","Windows SQL Web Reserved cost","Windows SQL Std On Demand cost","Windows SQL Std Reserved cost","Windows SQL Ent On Demand cost","Windows SQL Ent Reserved cost","Linux SQL Web On Demand cost","Linux SQL Web Reserved cost","Linux SQL Std On Demand cost","Linux SQL Std Reserved cost","Linux SQL Ent On Demand cost","Linux SQL Ent Reserved cost","EBS Optimized surcharge","EMR cost"
"R3 High-Memory Quadruple Extra Large","r3.4xlarge","122.0 GiB","52 units","16 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","320 GiB               SSD","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$970.900000 monthly","unavailable","$1.46 hourly","$0.966 hourly","$1.43 hourly","$0.869 hourly","$1419.120000 monthly","unavailable","$2.295 hourly","$1.617 hourly","$4.585 hourly","$4.041 hourly","$8.066 hourly","$7.579 hourly","$1.598 hourly","$1.024 hourly","$3.248 hourly","$2.673 hourly","$7.328 hourly","$6.753 hourly","unavailable","$0.270 hourly"
"I3EN 3xlarge","i3en.3xlarge","96.0 GiB","0 units","12 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175","3.1 GHz","unknown","unknown","unknown","unknown","7500 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","60","4","Yes","Yes","Yes","No","Unknown","No","$989.880000 monthly","$430.700000 monthly","$1.486 hourly","$1.054 hourly","$1.506 hourly","$0.984 hourly","$1392.840000 monthly","$833.660000 monthly","$2.111 hourly","$1.678 hourly","$3.348 hourly","$2.916 hourly","$6.408 hourly","$5.976 hourly","$1.559 hourly","$1.126 hourly","$2.796 hourly","$2.364 hourly","$5.856 hourly","$5.424 hourly","0","unavailable"
"M5A Eight Extra Large","m5a.8xlarge","128.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1004.480000 monthly","$441.650000 monthly","$1.506 hourly","$1.006 hourly","$1.526 hourly","$0.936 hourly","$2079.040000 monthly","$1516.210000 monthly","$3.389 hourly","$2.888 hourly","$6.688 hourly","$6.188 hourly","$14.848 hourly","$14.348 hourly","$1.917 hourly","$1.416 hourly","$5.216 hourly","$4.716 hourly","$13.376 hourly","$12.876 hourly","0","unavailable"
"D2 Double Extra Large","d2.2xlarge","61.0 GiB","28 units","8 vCPUs","0","None","0 GiB","0","0","3.5 units","Intel Xeon E5-2676v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","12000 GiB               (6 * 2000 GiB HDD)","Yes","N/A","64-bit","High","1000.0 Mbps","125.0 MB/s","8000.0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$1007.400000 monthly","unavailable","$1.51 hourly","$0.934 hourly","$1.48 hourly","$0.841 hourly","$1168.730000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","$4.748 hourly","$4.173 hourly","unavailable","unavailable","unavailable","unavailable","$4.38 hourly","$3.725 hourly","$0.00 hourly","$0.270 hourly"
"C5 High-CPU 9xlarge","c5.9xlarge","72.0 GiB","141 units","36 vCPUs","0","None","0 GiB","0","0","3.917 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$1116.900000 monthly","$467.930000 monthly","$1.66 hourly","$1.094 hourly","$1.63 hourly","$0.997 hourly","$2325.780000 monthly","$1676.810000 monthly","$3.794 hourly","$3.228 hourly","$7.506 hourly","$6.94 hourly","$16.686 hourly","$16.12 hourly","$2.138 hourly","$1.572 hourly","$5.85 hourly","$5.284 hourly","$15.03 hourly","$14.464 hourly","$0.00 hourly","$0.270 hourly"
"M5 General Purpose Eight Extra Large","m5.8xlarge","128.0 GiB","131 units","32 vCPUs","0","None","0 GiB","0","0","4.094 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","No","$1121.280000 monthly","$494.210000 monthly","$1.666 hourly","$1.111 hourly","$1.636 hourly","$1.014 hourly","$2195.840000 monthly","$1568.770000 monthly","$3.549 hourly","$2.994 hourly","$6.848 hourly","$6.293 hourly","$15.008 hourly","$14.453 hourly","$2.077 hourly","$1.522 hourly","$5.376 hourly","$4.821 hourly","$13.536 hourly","$12.981 hourly","0","unavailable"
"C4 High-CPU Eight Extra Large","c4.8xlarge","60.0 GiB","132 units","36 vCPUs","0","None","0 GiB","0","0","3.667 units","Intel Xeon E5-2666 v3 (Haswell)","2.9 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1161.430000 monthly","$516.840000 monthly","$1.721 hourly","$1.138 hourly","$1.691 hourly","$1.041 hourly","$2256.430000 monthly","$1725.720000 monthly","$3.881 hourly","$3.154 hourly","$12.485 hourly","$8.407 hourly","$16.747 hourly","$16.164 hourly","$2.208 hourly","$1.616 hourly","$5.92 hourly","$5.328 hourly","$15.1 hourly","$14.508 hourly","$0.00 hourly","$0.270 hourly"
"F1 Double Extra Large","f1.2xlarge","122.0 GiB","26 units","8 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2686 v4 (Broadwell)","unknown","unknown","unknown","unknown","unknown","470 GiB               NVMe SSD","Yes","Yes","64-bit","Up to 10 Gigabit","1700.0 Mbps","212.5 MB/s","12000.0 IOPS","No","60","4","No","Yes","Yes","No","HVM","No","$1204.500000 monthly","$601.155000 monthly","$1.78 hourly","$1.246 hourly","$1.75 hourly","$1.149 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","unavailable"
"X1E Double Extra Large","x1e.2xlarge","244.0 GiB","23 units","8 vCPUs","0","None","0 GiB","0","0","2.875 units","High Frequency Intel Xeon E7-8880 v3 (Haswell)","2.3 GHz","Yes","Yes","unknown","unknown","240 GiB               SSD","Yes","No","64-bit","Up to 10 Gigabit","1000.0 Mbps","125.0 MB/s","7400.0 IOPS","No","60","4","Yes","Yes","Yes","No","HVM","No","$1217.640000 monthly","$391.280000 monthly","$1.798 hourly","$1.158 hourly","$1.768 hourly","$1.061 hourly","$1486.280000 monthly","$659.920000 monthly","$2.171 hourly","$1.531 hourly","$2.996 hourly","$2.356 hourly","$5.036 hourly","$4.396 hourly","$1.803 hourly","$1.163 hourly","$2.628 hourly","$1.988 hourly","$4.668 hourly","$4.028 hourly","0","unavailable"
"C3 High-CPU Eight Extra Large","c3.8xlarge","60.0 GiB","108 units","32 vCPUs","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2680 v2 (Ivy Bridge)","2.8 GHz","Yes","unknown","unknown","Yes","640 GiB               (2 * 320 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM, PV","Yes","$1226.400000 monthly","unavailable","$1.81 hourly","$1.298 hourly","$1.78 hourly","$1.204 hourly","$2195.840000 monthly","unavailable","$4.332 hourly","$3.081 hourly","$8.523 hourly","$6.17 hourly","$15.152 hourly","$14.657 hourly","$2.288 hourly","$1.67 hourly","$6 hourly","$5.382 hourly","$15.18 hourly","$14.562 hourly","unavailable","$0.270 hourly"
"I2 Double Extra Large","i2.2xlarge","61.0 GiB","27 units","8 vCPUs","0","None","0 GiB","0","0","3.375 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","1600 GiB               (2 * 800 GiB SSD)","Yes","Yes","64-bit","High","N/A","0 MB/s","0 IOPS","No","60","4","Yes","No","Yes","No","HVM","Yes","$1244.650000 monthly","unavailable","$1.835 hourly","$0.978 hourly","$1.805 hourly","$0.884 hourly","$1420.580000 monthly","unavailable","$1.986 hourly","$1.155 hourly","$2.459 hourly","$1.536 hourly","$5.073 hourly","$4.218 hourly","$1.841 hourly","$0.897 hourly","$2.666 hourly","$1.722 hourly","$4.706 hourly","$3.762 hourly","unavailable","$0.270 hourly"
"C5 High-CPU 9xlarge","c5d.9xlarge","72.0 GiB","141 units","36 vCPUs","0","None","0 GiB","0","0","3.917 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","900 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$1261.440000 monthly","$529.980000 monthly","$1.858 hourly","$1.22 hourly","$1.828 hourly","$1.123 hourly","$2470.320000 monthly","$1738.860000 monthly","$3.992 hourly","$3.354 hourly","$7.704 hourly","$7.066 hourly","$16.884 hourly","$16.246 hourly","$2.336 hourly","$1.698 hourly","$6.048 hourly","$5.41 hourly","$15.228 hourly","$14.59 hourly","0","$0.270 hourly"
"M5 General Purpose Eight Extra Large","m5d.8xlarge","128.0 GiB","131 units","32 vCPUs","0","None","0 GiB","0","0","4.094 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","1200 GiB               (2 * 600 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","No","$1319.840000 monthly","$577.430000 monthly","$1.938 hourly","$1.281 hourly","$1.908 hourly","$1.184 hourly","$2394.400000 monthly","$1651.990000 monthly","$3.821 hourly","$3.164 hourly","$7.12 hourly","$6.463 hourly","$15.28 hourly","$14.623 hourly","$2.349 hourly","$1.692 hourly","$5.648 hourly","$4.991 hourly","$13.808 hourly","$13.151 hourly","0","unavailable"
"R5A Eight Extra Large","r5a.8xlarge","256.0 GiB","0 units","32 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","Up to 10 Gigabit","3500.0 Mbps","437.5 MB/s","32000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1319.840000 monthly","$598.600000 monthly","$1.938 hourly","$1.271 hourly","$1.958 hourly","$1.201 hourly","$2394.400000 monthly","$1673.160000 monthly","$3.821 hourly","$3.154 hourly","$7.12 hourly","$6.453 hourly","$15.28 hourly","$14.613 hourly","$2.349 hourly","$1.682 hourly","$5.648 hourly","$4.981 hourly","$13.808 hourly","$13.141 hourly","0","unavailable"
"H1 Eight Extra Large","h1.8xlarge","128.0 GiB","99 units","32 vCPUs","0","None","0 GiB","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","8000 GiB               (4 * 2000 GiB HDD)","Yes","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1366.560000 monthly","$659.920000 monthly","$2.002 hourly","$1.402 hourly","$1.972 hourly","$1.305 hourly","$2441.120000 monthly","$1734.480000 monthly","$3.885 hourly","$3.285 hourly","$7.184 hourly","$6.584 hourly","$15.344 hourly","$14.744 hourly","$2.413 hourly","$1.813 hourly","$5.712 hourly","$5.112 hourly","$13.872 hourly","$13.272 hourly","0","$0.270 hourly"
"C5N 9xlarge","c5n.9xlarge","96.0 GiB","0 units","36 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8124M","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","50 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$1419.120000 monthly","$515.380000 monthly","$2.074 hourly","$1.355 hourly","$2.094 hourly","$1.285 hourly","$2628.000000 monthly","$1724.260000 monthly","$4.208 hourly","$3.489 hourly","$7.92 hourly","$7.201 hourly","$17.1 hourly","$16.381 hourly","$2.552 hourly","$1.833 hourly","$6.264 hourly","$5.545 hourly","$15.444 hourly","$14.725 hourly","0","$0.270 hourly"
"Cluster Compute Eight Extra Large","cc2.8xlarge","60.5 GiB","88 units","32 vCPUs","0","None","0 GiB","0","0","2.75 units","Intel Xeon E5-2670","2.6 GHz","unknown","unknown","unknown","unknown","3360 GiB               (4 * 840 GiB HDD)","No","N/A","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","HVM","Yes","$1460.000000 monthly","unavailable","$2.13 hourly","unavailable","$2.1 hourly","unavailable","$1876.100000 monthly","unavailable","$2.775 hourly","unavailable","$4.41 hourly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","$0.270 hourly"
"M4 General Purpose Deca Extra Large","m4.10xlarge","160.0 GiB","124.5 units","40 vCPUs","0","None","0 GiB","0","0","3.112 units","Intel Xeon E5-2676 v3 (Haswell)","2.4 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","4000.0 Mbps","500.0 MB/s","32000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1460.000000 monthly","$630.720000 monthly","$2.13 hourly","$1.369 hourly","$2.1 hourly","$1.272 hourly","$2803.200000 monthly","$1973.920000 monthly","$4.582 hourly","$3.449 hourly","$8.64 hourly","$7.879 hourly","$18.84 hourly","$18.079 hourly","$2.676 hourly","$1.915 hourly","$6.8 hourly","$6.039 hourly","$17 hourly","$16.239 hourly","$0.00 hourly","$0.270 hourly"
"R5 Eight Extra Large","r5.8xlarge","256.0 GiB","131 units","32 vCPUs","0","None","0 GiB","0","0","4.094 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","240","8","No","Yes","Yes","No","HVM","No","$1471.680000 monthly","$667.220000 monthly","$2.146 hourly","$1.4 hourly","$2.166 hourly","$1.33 hourly","$2546.240000 monthly","$1741.780000 monthly","$4.029 hourly","$3.283 hourly","$7.328 hourly","$6.582 hourly","$15.488 hourly","$14.742 hourly","$2.557 hourly","$1.811 hourly","$5.856 hourly","$5.11 hourly","$14.016 hourly","$13.27 hourly","0","unavailable"
"C5 High-CPU 12xlarge","c5.12xlarge","96.0 GiB","188 units","48 vCPUs","0","None","0 GiB","0","0","3.917 units","Intel Xeon Platinum 8275L","3.0 Ghz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","12 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","No","$1489.200000 monthly","$624.150000 monthly","$2.17 hourly","$1.415 hourly","$2.14 hourly","$1.318 hourly","$3101.040000 monthly","$2235.990000 monthly","$5.059 hourly","$4.304 hourly","$10.008 hourly","$9.253 hourly","$22.248 hourly","$21.493 hourly","$2.851 hourly","$2.096 hourly","$7.8 hourly","$7.045 hourly","$20.04 hourly","$19.285 hourly","0","unavailable"
"M5A 12xlarge","m5a.12xlarge","192.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$1506.720000 monthly","$662.110000 monthly","$2.194 hourly","$1.443 hourly","$2.214 hourly","$1.373 hourly","$3118.560000 monthly","$2273.950000 monthly","$5.083 hourly","$4.333 hourly","$10.032 hourly","$9.281 hourly","$22.272 hourly","$21.521 hourly","$2.875 hourly","$2.125 hourly","$7.824 hourly","$7.073 hourly","$20.064 hourly","$19.313 hourly","0","$0.270 hourly"
"R4 High-Memory Eight Extra Large","r4.8xlarge","244.0 GiB","99 units","32 vCPUs","0","None","0 GiB","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","37500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1553.440000 monthly","$668.534000 monthly","$2.258 hourly","$1.474 hourly","$2.228 hourly","$1.377 hourly","$2628.000000 monthly","$1743.094000 monthly","$4.164 hourly","$3.38 hourly","$7.44 hourly","$6.656 hourly","$15.6 hourly","$14.816 hourly","$2.6688 hourly","$1.8848 hourly","$5.968 hourly","$5.184 hourly","$14.128 hourly","$13.344 hourly","0","$0.270 hourly"
"Z1D 6xlarge","z1d.6xlarge","192.0 GiB","134 units","24 vCPUs","0","None","0 GiB","0","0","5.583 units","Intel Xeon Platinum 8151","unknown","unknown","unknown","unknown","unknown","900 GiB               NVMe SSD","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","240","8","No","Yes","Yes","No","HVM","Yes","$1629.360000 monthly","$672.330000 monthly","$2.362 hourly","$1.541 hourly","$2.382 hourly","$1.471 hourly","$2435.280000 monthly","$1478.250000 monthly","$3.742 hourly","$2.92 hourly","$6.216 hourly","$5.395 hourly","$12.336 hourly","$11.515 hourly","$2.638 hourly","$1.816 hourly","$5.112 hourly","$4.291 hourly","$11.232 hourly","$10.411 hourly","0","$0.270 hourly"
"G3 Eight Extra Large","g3.8xlarge","244.0 GiB","94 units","32 vCPUs","2","NVIDIA Tesla M60","16 GiB","5.2","0","2.938 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1664.400000 monthly","$848.260000 monthly","$2.41 hourly","$1.6861 hourly","$2.38 hourly","$1.5891 hourly","$2738.960000 monthly","$1922.820000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","unavailable","0","$0.270 hourly"
"M5 General Purpose 12xlarge","m5.12xlarge","192.0 GiB","173 units","48 vCPUs","0","None","0 GiB","0","0","3.604 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","EBS only","N/A","N/A","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$1681.920000 monthly","$741.680000 monthly","$2.434 hourly","$1.602 hourly","$2.404 hourly","$1.505 hourly","$3293.760000 monthly","$2353.520000 monthly","$5.323 hourly","$4.491 hourly","$10.272 hourly","$9.44 hourly","$22.512 hourly","$21.68 hourly","$3.115 hourly","$2.283 hourly","$8.064 hourly","$7.232 hourly","$20.304 hourly","$19.472 hourly","0","$0.270 hourly"
"R5D Eight Extra Large","r5d.8xlarge","256.0 GiB","131 units","32 vCPUs","0","None","0 GiB","0","0","4.094 units","Intel Xeon Platinum 8175","unknown","unknown","unknown","unknown","unknown","1200 GiB               (2 * 600 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","240","8","No","Yes","Yes","No","HVM","No","$1681.920000 monthly","$753.360000 monthly","$2.434 hourly","$1.584 hourly","$2.454 hourly","$1.514 hourly","$2756.480000 monthly","$1827.920000 monthly","$4.317 hourly","$3.467 hourly","$7.616 hourly","$6.766 hourly","$15.776 hourly","$14.926 hourly","$2.845 hourly","$1.995 hourly","$6.144 hourly","$5.294 hourly","$14.304 hourly","$13.454 hourly","0","unavailable"
"M5AD 12xlarge","m5ad.12xlarge","192.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","5000.0 Mbps","675.0 MB/s","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1804.560000 monthly","$791.320000 monthly","$2.602 hourly","$1.711 hourly","$2.622 hourly","$1.641 hourly","$3416.400000 monthly","$2403.160000 monthly","$5.491 hourly","$4.6 hourly","$10.44 hourly","$9.549 hourly","$22.68 hourly","$21.789 hourly","$3.283 hourly","$2.392 hourly","$8.232 hourly","$7.341 hourly","$20.472 hourly","$19.581 hourly","0","unavailable"
"I3 High I/O Eight Extra Large","i3.8xlarge","244.0 GiB","99 units","32 vCPUs","0","None","0 GiB","0","0","3.094 units","Intel Xeon E5-2686 v4 (Broadwell)","2.3 GHz","Yes","Yes","unknown","Yes","7600 GiB               (4 * 1900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","32500.0 IOPS","No","240","8","Yes","Yes","Yes","No","HVM","Yes","$1822.080000 monthly","$883.300000 monthly","$2.626 hourly","$1.844 hourly","$2.596 hourly","$1.747 hourly","$2896.640000 monthly","$1957.860000 monthly","$4.532 hourly","$3.75 hourly","$7.808 hourly","$7.026 hourly","$15.968 hourly","$15.186 hourly","$3.037 hourly","$2.254 hourly","$6.336 hourly","$5.554 hourly","$14.496 hourly","$13.714 hourly","0","$0.270 hourly"
"G2 Eight Extra Large","g2.8xlarge","60.0 GiB","104 units","32 vCPUs","4","NVIDIA GRID K520","32 GiB","3.0","0","3.25 units","Intel Xeon E5-2670 (Sandy Bridge)","2.6 GHz","Yes","unknown","unknown","Yes","240 GiB               (2 * 120 GiB SSD)","No","No","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","No","No","No","No","Unknown","No","$1898.000000 monthly","unavailable","$2.73 hourly","$2.026 hourly","$2.7 hourly","$1.933 hourly","$2100.940000 monthly","unavailable","unavailable","unavailable","unavailable","unavailable","$16.072 hourly","$15.369 hourly","unavailable","unavailable","unavailable","unavailable","$14.6 hourly","$13.702 hourly","unavailable","unavailable"
"R3 High-Memory Eight Extra Large","r3.8xlarge","244.0 GiB","104 units","32 vCPUs","0","None","0 GiB","0","0","3.25 units","Intel Xeon E5-2670 v2 (Ivy Bridge)","2.5 GHz","Yes","unknown","unknown","Yes","640 GiB               (2 * 320 GiB SSD)","Yes","Yes","64-bit","10 Gigabit","N/A","0 MB/s","0 IOPS","No","240","8","Yes","No","Yes","No","HVM","Yes","$1941.800000 monthly","unavailable","$2.79 hourly","$1.802 hourly","$2.76 hourly","$1.705 hourly","$2555.000000 monthly","unavailable","$3.855 hourly","$2.717 hourly","$8.615 hourly","$7.594 hourly","$16.132 hourly","$15.158 hourly","$3.197 hourly","$2.048 hourly","$6.496 hourly","$5.347 hourly","$14.656 hourly","$13.507 hourly","unavailable","$0.270 hourly"
"I3EN 6xlarge","i3en.6xlarge","192.0 GiB","0 units","24 vCPUs","0","None","0 GiB","0","0","0 units","Intel Xeon Platinum 8175","3.1 GHz","unknown","unknown","unknown","unknown","15000 GiB               (2 * 7500 GiB NVMe SSD)","Yes","Yes","64-bit","25 Gigabit","3500.0 Mbps","437.5 MB/s","20000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","No","$1979.760000 monthly","$861.400000 monthly","$2.842 hourly","$1.977 hourly","$2.862 hourly","$1.907 hourly","$2785.680000 monthly","$1667.320000 monthly","$4.222 hourly","$3.357 hourly","$6.696 hourly","$5.831 hourly","$12.816 hourly","$11.951 hourly","$3.118 hourly","$2.253 hourly","$5.592 hourly","$4.727 hourly","$11.712 hourly","$10.847 hourly","0","unavailable"
"M5 General Purpose 12xlarge","m5d.12xlarge","192.0 GiB","173 units","48 vCPUs","0","None","0 GiB","0","0","3.604 units","Intel Xeon Platinum 8175","2.5 GHz","Yes","Yes","Yes","Yes","1800 GiB               (2 * 900 GiB NVMe SSD)","Yes","Yes","64-bit","10 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","HVM","Yes","$1979.760000 monthly","$866.510000 monthly","$2.842 hourly","$1.857 hourly","$2.812 hourly","$1.76 hourly","$3591.600000 monthly","$2478.350000 monthly","$5.731 hourly","$4.746 hourly","$10.68 hourly","$9.695 hourly","$22.92 hourly","$21.935 hourly","$3.523 hourly","$2.538 hourly","$8.472 hourly","$7.487 hourly","$20.712 hourly","$19.727 hourly","0","$0.270 hourly"
"R5A 12xlarge","r5a.12xlarge","384.0 GiB","0 units","48 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","10 Gigabit","5000.0 Mbps","625.0 MB/s","30000.0 IOPS","Yes","240","8","Yes","Yes","Yes","No","Unknown","Yes","$1979.760000 monthly","$897.900000 monthly","$2.842 hourly","$1.841 hourly","$2.862 hourly","$1.771 hourly","$3591.600000 monthly","$2509.740000 monthly","$5.731 hourly","$4.731 hourly","$10.68 hourly","$9.679 hourly","$22.92 hourly","$21.919 hourly","$3.523 hourly","$2.523 hourly","$8.472 hourly","$7.471 hourly","$20.712 hourly","$19.711 hourly","0","$0.270 hourly"
"M5A 16xlarge","m5a.16xlarge","256.0 GiB","0 units","64 vCPUs","0","None","0 GiB","0","0","0 units","AMD EPYC 7571","2.5 GHz","unknown","unknown","unknown","unknown","EBS only","N/A","N/A","64-bit","12 Gigabit","7000.0 Mbps","875.0 MB/s","40000.0 IOPS","Yes","750","15","Yes","Yes","Yes","No","Unknown","No","$2008.960000 monthly","$883.300000 monthly","$2.882 hourly","$1.881 hourly","$2.902 hourly","$1.811 hourly","$4158.080000 monthly","$3032.420000 monthly","$6.778 hourly","$5.777 hourly","$13.376 hourly","$12.375 hourly","$29.696 hourly","$28.695 hourly","$3.834 hourly","$2.833 hourly","$10.432 hourly","$9.431 hourly","$26.752 hourly","$25.751 hourly","0","unavailable"
